"Informazioni cronologiche","Ho letto e accettato l'informativa e confermo inoltre di avere più di 18 anni","Quanti anni hai?","Genere","Da quante persone è composto il tuo nucleo familiare?","Occupazione","Quanto è grande la tua azienda?","Da che regione provieni?","Provincia di provenienza","In che regione lavori/studi?","Provincia del luogo di lavoro/studio","Invalidità","Tipo di residenza","Numero di persone con cui convivi","Entrate Familiari Mensili Nette","Entrate Personali Mensili Nette ","Quante volte alla settimana fai la spesa?","Quanti supermercati visiti quando fai la spesa?","Per una vita più sostenibile, una buona abitudine per gli acquisti è quello di servirsi di prodotti locali e/o di propria produzione. In quale delle seguenti condizioni ti rispecchi maggiormente?","Per incentivare la spesa sostenibile, sono stati creati dei servizi online per l’acquisto e spedizione a casa di tutti i prodotti biologici, siti come BioDiscount, Greenweez, La Boutique del Biologico. Sfrutti tali servizi?","All’interno dei supermercati, presti attenzione ai prodotti con etichetta ecologica (basso consumo CO2, allevamento a terra)?","Sacchetti della spesa","Prodotti per la casa e per indumenti","Acqua potabile","Molte associazioni coinvolgono i supermercati per la raccolta di cibo all’uscita dei supermercati. Quanto spesso dai in beneficenza cibaria?","In media, quante volte al mese acquisti vestiti?","Etichette sostenibili sono presenti anche per il vestiario. 
Quale delle seguenti opzioni ti rispecchia maggiormente?","La presenza di mercatini dell’usato (anche online) è una buona pratica, come anche il riutilizzo di indumenti vecchi o danneggiati, per il riciclo di indumenti. 
Quale delle seguenti opzioni ti rispecchia maggiormente?","Le case green sono un altro tema discusso in ambito sostenibilità. 
Seleziona quale delle seguenti condizioni ti rispecchia maggiormente:","Un aspetto importante che caratterizza una casa green è la presenza di dispositivi elettronici sostenibili (illuminazione a LED, pannelli solari) e di forniture ecologiche (etichette ecologiche).
Quanto sei interessato all’acquisto di tali dispositivi e forniture?
(Selezionare valori intermedi in base anche alla possibilità di acquisto, ad esempio, sono molto interessato all'acquisto ma sono estremamente costosi = 3 )","Nella tua giornata tipo, a che ora esci di casa?","Qual è il veicolo che usi quotidianamente?","Cosa alimenta il tuo veicolo?","In quale classe ambientale si trova il veicolo che usi quotidianamente? 
(basati sull'anno di immatricolazione se non conosci la classe)","Quante volte a settimana esci di casa?","Di queste volte, quanto spesso usi il mezzo di trasporto che hai specificato poco sopra?","Quanto traffico incontri quando esci di casa?","Quanti minuti impieghi solitamente per trovare parcheggio per il tuo veicolo?","Indicativamente, quanto è grande in m² la tua residenza?","Indicativamente, quanti m² di spazi verdi sono presenti nella tua residenza?","Indicativamente, che percentuale della tua residenza è riservata al parcheggio?","Quanto spendi in carburante ogni mese?","Quanto spendi in trasporti ecosostenibili ogni mese? (per esempio, caricando l'auto elettrica)","Quanto spendi mensilmente in trasporti pubblici?","Seleziona tutti i mezzi di trasporto pubblici di cui fai uso tipicamente","Quanto è distante, in chilometri, il tuo posto di lavoro/studio?","Quanto spesso raggiungi il posto di lavoro/studio a piedi?","Indicativamente, quanto è grande il tuo posto di lavoro/studio? (in m²) ","Indicativamente, quanti m² di spazi verdi sono presenti nel tuo posto di lavoro/studio?","Il tragitto tra casa tua e il tuo posto di lavoro/studio:","Quante iniziative esistono da parte del tuo posto di lavoro/studio alla riduzione dell'uso dei mezzi di trasporto? (ad esempio, offrendo soluzioni alternative come navette o car pooling)","Qual è la percentuale di prodotti elettronici efficienti che possiedi?","Seleziona se possiedi uno dei seguenti sistemi?","Seleziona quali sistemi di fonti rinnovabili possiedi?","Quanto, in percentuale, pensi che gli impianti rinnovabili che si possiedono producano rispetto a ciò che consumi?","Qual è il kilowattaggio del tuo impianto elettrico?","La tua casa rispecchia i seguenti elementi di Green Building Implementation?","Qual è la percentuale di prodotti elettronici efficienti che il tuo luogo di lavoro/ la tua università possiede?","Seleziona se il tuo luogo di lavoro/la tua università possiede uno dei seguenti sistemi?","Seleziona quali sistemi di fonti rinnovabili possiede il tuo luogo di lavoro/la tua università?","Quanto, in percentuale, pensi che gli impianti rinnovabili del tuo luogo di lavoro/della tua università producano rispetto a ciò che viene consumato?","Il tuo luogo di lavoro/la tua università rispecchia i seguenti elementi di Green Building Implementation?","Consumo dell'acqua - Lavoro o Università [Programma di conservazione dell'acqua]","Consumo dell'acqua - Lavoro o Università [Programma di riciclo dell'acqua]","Consumo dell'acqua - Lavoro o Università [Utilizzo di strumenti e elettrodomestici efficienti (asciugamani ad aria, scarico a doppio bottone, ecc)]","Consumo dell'acqua - Lavoro o Università [Consumo di acqua trattata comparata con tutte le altre fonti d'acqua]","Consumo dell'acqua - Casa [Programma di conservazione dell'acqua]","Consumo dell'acqua - Casa [Programma di riciclo dell'acqua]","Consumo dell'acqua - Casa [Utilizzo di strumenti e elettrodomestici efficienti (asciugamani ad aria, scarico a doppio bottone, ecc)]","Consumo dell'acqua - Casa [Consumo di acqua trattata comparata con tutte le altre fonti d'acqua]","Rifiuti - Lavoro o Università [Vengono implementate le 3R: Riduzione, Riuso e Riciclo]","Rifiuti - Lavoro o Università [C'è un'attenzione nel ridurre l'uso della plasica]","Rifiuti - Lavoro o Università [C'è un'attenzione alla gestione di materiali organici]","Rifiuti - Lavoro o Università [C'è un'attenzione alla gestione di materiali inorganici]","Rifiuti - Casa [Vengono implementate le 3R: Riduzione, Riuso e Riciclo]","Rifiuti - Casa [C'è un'attenzione nel ridurre l'uso della plasica]","Rifiuti - Casa [C'è un'attenzione alla gestione di materiali organici]","Rifiuti - Casa [C'è un'attenzione alla gestione di materiali inorganici]","Inserire il numero di eventi (conferenze, workshop, sensibilizzazione, formazione pratica, festival, etc.) legati ai problemi di sostenibilità e dell'ambiente organizzati dalla propria azienda e/o università (media per anno degli ultimi 3 anni). 
Selezionare una delle seguenti opzioni:","Inserire il numero totale di attività organizzate dalle organizzazioni studentesche o da eventuali organizzazioni interne al proprio ambiente di lavoro per anno. Ad esempio, seminari, webinars, formazione, eventi sportivi, bazaar di materiali riciclati, comunità di divulgazione, etc.. 
Selezionare una delle seguenti opzioni:","La presenza di strutture ""green"" all'interno del proprio campus e/o della propria azienda che siano accessibili al pubblico, per esempio durante attività culturali, indicano un impatto più ampio di tali strutture nei loro dintorni (Festival Culturali, teatro, performance musicali, esibizioni, attività virtuali, etc.).
Selezionare una delle seguenti opzioni:",""
"2023/06/15 5:59:26 PM EEST","Sì","Tra 26 e 50 anni","Femminile","3","Lavoratore presso azienda pubblica","Da 51 a 250 impiegati (media impresa)","Marche","fdghdfhd","Friuli-Venezia Giulia","","Invalidità fino a 50%","Casa","10000","Da 0 a 1000 €","Da 0 a 1000 €","≥ 5","≥ 5","Acquisto spesso (media di 2 volte al mese) ai mercatini biologici presenti nella mia città","No, li conosco ma non li uso","No, non guardo le etichette","Uso i sacchetti del supermercato e li butto via","Riacquisto i prodotti, non vi sono servizi alla spina nella mia città","Riacquisto le casse di acqua","1 volta all'anno","3","Sono a conoscenza dei cartellini sostenibili ma raramente acquisto indumenti sostenibili","Non acquisto vestiti di seconda mano ( non sono a conoscenza di siti/mercati dell’usato) - riutilizzo in casa indumenti vecchi o danneggiati","Sono interessato all’acquisto di mobili di seconda mano ma non sono a conoscenza di mercatini delle pulci nella mia zona ne di siti online","2","10:02","Treno","Biodiesel","Euro 4 (immatricolata a partire dal 1° gennaio 2006)","Zero","3","3","Più di 20 minuti","Tra 75 e 100 m²","Tra 50 e 75 m²","25%","Tra 50 e 100€","Tra 30 e 50€","Tra 10 e 30€","Monopattino elettrico;Bus;Tram","Tra 4 e 6 km","3","Tra 20 e 50 m²","Tra 50 e 75 m²","Presenta un passaggio pedonale","2","Tra il 50 e il 75%","Sistemi di Controllo Intelligenti del Sistema Elettrico","","Meno del 25 %","4.5 kWh","Utilizzo di prodotti naturali per la costruzione della casa","Tra il 50 e il 75%","Sistemi di Controllo Intelligenti dell'Illuminazione","BioDiesel","Non possiedo nessun impianto","Luce solare naturale","1-25%","In Fase di preparazione","26-50%","In Fase di preparazione","1-25%","In Fase di preparazione","1-25%","In Fase di preparazione","In fase di Preparazione","1-50%","1-50%","In fase di Preparazione","In fase di Preparazione","1-50%","In fase di Preparazione","1-50%","0","1 - 2","2 eventi per anno","fgdfsss"
"2023/06/18 1:13:56 PM EEST","Sì","Tra 26 e 50 anni","Femminile","4","Non impiegato","Da 51 a 250 impiegati (media impresa)","Sicilia","Messina","Sicilia","Messina","Nessuna invalidità","Appartamento in condominio","Tra 4 e 7","Da 1001 a 2000 €","Da 0 a 1000 €","2","2","Mi servo esclusivamente dei supermercati","No, li conosco ma non li uso","Si, raramente acquisto prodotti con etichetta ecologica","Non uso i sacchetti del supermercato, uso sacchetti personali (borse della spesa in tela o plastica dura riutilizzabile)","Riacquisto i prodotti, non vi sono servizi alla spina nella mia città","Riacquisto le casse di acqua, non sono presenti distributori all'interno della mia città","1 volta all'anno","2","A volte acquisto indumenti sostenibili","Non acquisto vestiti di seconda mano (non sono a conoscenza di siti/mercati dell’usato) - riutilizzo in casa indumenti vecchi o danneggiati","Sono interessato all’acquisto di mobili di seconda mano ma non sono a conoscenza di mercatini delle pulci nella mia zona ne di siti online","2","08:00","Automobile (conducente)","Diesel","Euro 4 (immatricolata a partire dal 1° gennaio 2006)","Tra 4 e 6 volte a settimana","5","3","Tra 11 e 15 minuti","Tra 51 e 75 m²","Tra 76 e 100 m²","25%","Tra 31 e 50€","Tra 31 e 50€","Tra 11 e 30€","Nessuno","Tra 1 e 3 km","1","Circa 25 m²","Circa 25 m²","Nessuna delle seguenti","Nessuna","Meno del 25%","Sistemi di Controllo Intelligenti dell'Energia","BioMassa Pulita","Meno del 25 %","3 kWh","Ventilazione Naturale","Tra 2 e 25%","Sistemi di Controlli di Sicurezza Intelligenti","BioMassa Pulita","Meno del 25%","Utilizzo di prodotti naturali per la costruzione della casa","In progetto","In progetto","1-25%","Nessun Interesse","1-25%","In Progetto","Nessun Interesse","Nessun Interesse","In Progetto","1-50%","1-50%","51-75%","In Progetto","In Progetto","1-50%","In Progetto","1 - 4","3 - 4","1 evento per anno",""
"2023/06/18 2:46:14 PM EEST","Sì","Maggiore di 50 anni","Femminile","4","Lavoratore presso azienda pubblica","Da 51 a 250 impiegati (media impresa)","Sicilia","Messina","Sicilia","Messina","Nessuna invalidità","Appartamento in condominio","Tra 1 e 3","Da 1001 a 2000 €","Da 1001 a 2000 €","2","2","Acquisto molti (media di più di 2 volte al mese) prodotti locali","No, non ne ero a conoscenza","No, non guardo le etichette","Uso i sacchetti del supermercato e li riutilizzo","Riacquisto i prodotti","Riacquisto le casse di acqua","2  volte all'anno","2","Sono a conoscenza dei cartellini sostenibili ma raramente acquisto indumenti sostenibili","Non acquisto vestiti di seconda mano - vendo e/o riutilizzo indumenti vecchi o danneggiati","Non mi interessa l’acquisto di mobili ecologici o di seconda mano","2","09:00","Nessuno","","Euro 0 (immatricolata prima del 31 dicembre 1992)","Più di 6 volte a settimana","5","1","Meno di 5 minuti","Più di 100 m²","Tra 51 e 75 m²","50%","0€","0€","0€","Nessuno","Meno di 1 km","5","Più di 100 m²","Circa 25 m²","Presenta un passaggio pedonale sicuro e conveniente da percorrere, con rampe e ausili per assistere persone con handicap","2","Superiore al 75%","Sistemi di Controllo Intelligenti del Sistema Elettrico","","Non possiedo nessun impianto","3 kWh","Ventilazione Naturale;Luce solare naturale","Superiore al 75%","Sistemi di Controllo Intelligenti dell'Energia;Sistemi di Controllo Intelligenti di Condizionamento dell'Aria","Solare","Più del 75%","Luce solare naturale","Nessun Interesse","Nessun Interesse","26-50%","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","No","76-100%","76-100%","76-100%","76-100%","76-100%","76-100%","76-100%","1 - 4","1 - 2","3 eventi per anno",""
"2023/06/18 3:09:21 PM EEST","Sì","Tra 26 e 50 anni","Maschile","3","Lavoratore presso azienda privata","Da 1 a 10 impiegati (micro impresa)","Sicilia","Messina","Sicilia","Messina","Nessuna invalidità","Appartamento in condominio","Tra 1 e 3","Da 1001 a 2000 €","Da 1001 a 2000 €","1","2","Acquisto spesso (media di 2 volte al mese) ai mercatini biologici presenti nella mia città","No, non ne ero a conoscenza","Si, raramente acquisto prodotti con etichetta ecologica","Non uso i sacchetti del supermercato, uso sacchetti personali (borse della spesa in tela o plastica dura riutilizzabile)","Riacquisto i prodotti","Riacquisto le casse di acqua","0","1","Non ero a conoscenza dei cartellini sostenibili, inizierò ad acquistare indumenti sostenibili","Non acquisto vestiti di seconda mano - vendo e/o riutilizzo indumenti vecchi o danneggiati","Non mi interessa l’acquisto di mobili ecologici o di seconda mano","3","09:00","Nessuno","Diesel","Euro 5 (immatricolata a partire dal 1° gennaio 2011)","Più di 6 volte a settimana","1","1","Meno di 5 minuti","Più di 100 m²","Circa 25 m²","25%","Tra 31 e 50€","0€","0€","Treno","Meno di 1 km","5","Tra 51 e 75 m²","Circa 25 m²","Nessuna delle seguenti","Nessuna","Meno del 25%","","","Non possiedo nessun impianto","4.5 kWh","Ventilazione Naturale","Tra 2 e 25%","Sistemi di Controllo Intelligenti di Condizionamento dell'Aria","","Non possiedo nessun impianto","Ventilazione Naturale","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","In Progetto","Nessun Interesse","In Progetto","Nessun Interesse","1-50%","1-50%","1-50%","1-50%","1-50%","1-50%","1-50%","1-50%","0","0","Nessuna",""
"2023/06/18 4:17:34 PM EEST","Sì","Tra 18 e 25 anni","Femminile","4","Studente Lavoratore","Da 1001 a 10000 impiegati","Sicilia","Messina","Sicilia","Messina","Nessuna invalidità","Casa","0","Da 1001 a 2000 €","Da 0 a 1000 €","2","1","Mi servo esclusivamente dei supermercati","No, non ne ero a conoscenza","Si, raramente acquisto prodotti con etichetta ecologica","Non uso i sacchetti del supermercato, uso sacchetti personali (borse della spesa in tela o plastica dura riutilizzabile)","Riacquisto i prodotti","Riacquisto le casse di acqua","2  volte all'anno","2","Acquisto vestiti senza curarmi dei cartellini","Non acquisto vestiti di seconda mano - vendo e/o riutilizzo indumenti vecchi o danneggiati","Non mi interessa l’acquisto di mobili ecologici o di seconda mano","3","06:00","Automobile (conducente)","Diesel","Euro 6 (immatricolata a partire dal 1° settembre 2015)","Tra 4 e 6 volte a settimana","5","3","Tra 5 e 10 minuti","Tra 51 e 75 m²","Più di 100 m²","100%","Tra 31 e 50€","0€","Più di 100€","Monopattino elettrico;Treno","Più di 30 km","1","Più di 100 m²","Più di 100 m²","Nessuna delle seguenti","2","Superiore al 75%","Sistemi di Controllo Intelligenti di Condizionamento dell'Aria","","Non possiedo nessun impianto","3 kWh","Ventilazione Naturale;Luce solare naturale","Superiore al 75%","Sistemi di Controllo Intelligenti di Condizionamento dell'Aria","Solare","Più del 75%","Luce solare naturale","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","76-100%","76-100%","76-100%","76-100%","76-100%","76-100%","76-100%","76-100%","5 - 17","1 - 2","2 eventi per anno",""
"2023/06/18 4:46:22 PM EEST","Sì","Tra 26 e 50 anni","Femminile","4","Non impiegato","Da 1001 a 10000 impiegati","Sicilia","Messina","Sicilia","Messina","Nessuna invalidità","Casa","Tra 1 e 3","Più di 5000 €","Da 3001 a 5000 €","3","2","Vorrei servirmi dei mercatini biologici ma non sono presenti nella mia città","No, non ne ero a conoscenza","Si, ma hanno un prezzo elevato","Uso i sacchetti del supermercato e li riutilizzo","Riacquisto i prodotti","Riacquisto le casse di acqua","1 volta all'anno","1","Acquisto vestiti senza curarmi dei cartellini","Non acquisto vestiti di seconda mano - butto ogni tipo di indumento vecchio o danneggiato","Non mi interessa l’acquisto di mobili ecologici o di seconda mano","2","08:30","Automobile (conducente)","Gasolio","Euro 6 (immatricolata a partire dal 1° settembre 2015)","Tra 1 e 3 volte a settimana","2","2","Tra 5 e 10 minuti","Più di 100 m²","Tra 25 e 50 m²","25%","Tra 101 e 150€","0€","0€","Nessuno","Più di 30 km","1","Circa 25 m²","Circa 25 m²","Presenta un passaggio pedonale","Nessuna","Superiore al 75%","","","Non possiedo nessun impianto","3 kWh","Ventilazione Naturale","Meno dell'1%","","","Non possiedo nessun impianto","Ventilazione Naturale","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","No","No","No","No","1-50%","In Progetto","1-50%","1-50%","0","0","Nessuna",""
"2023/06/18 4:55:16 PM EEST","Sì","Tra 26 e 50 anni","Maschile","3","Lavoratore presso azienda pubblica","Da 11 a 50 impiegati (mini impresa)","Sicilia","Messina","Sicilia","Messina","Nessuna invalidità","Casa","Tra 1 e 3","Da 2001 a 3000 €","Da 1001 a 2000 €","3","2","Mi servo esclusivamente dei supermercati","No, li conosco ma non li uso","Si, raramente acquisto prodotti con etichetta ecologica","Uso i sacchetti del supermercato e li riutilizzo","Riacquisto i prodotti, non vi sono servizi alla spina nella mia città","Riacquisto le casse di acqua","1 volta all'anno","1","Acquisto vestiti senza curarmi dei cartellini","Non acquisto vestiti di seconda mano - butto ogni tipo di indumento vecchio o danneggiato","Non mi interessa l’acquisto di mobili ecologici o di seconda mano","4","18:30","Automobile (conducente)","Gasolio","Euro 4 (immatricolata a partire dal 1° gennaio 2006)","Tra 4 e 6 volte a settimana","4","3","Tra 16 e 20 minuti","Più di 100 m²","Circa 25 m²","0%","Tra 51 e 100€","0€","0€","Nessuno","Tra 11 e 20 km","1","Più di 100 m²","Circa 25 m²","Nessuna delle seguenti","Nessuna","Minore dell'1%","","","Tra il 26 e il 50 %","3 kWh","Luce solare naturale","Meno dell'1%","Sistemi di Controllo Intelligenti di Condizionamento dell'Aria","","Tra il 26 e il 50%","Ventilazione Naturale;Luce solare naturale","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","No","No","No","No","No","No","No","No","0","0","Nessuna",""
"2023/06/18 4:56:10 PM EEST","Sì","Tra 26 e 50 anni","Femminile","4","Lavoratore presso azienda pubblica","Più di 10000 impiegati","Sicilia","Messina","Sicilia","Messina","Nessuna invalidità","Casa","Tra 1 e 3","Da 2001 a 3000 €","Da 1001 a 2000 €","2","3","Acquisto spesso (media di 2 volte al mese) ai mercatini biologici presenti nella mia città","No, li conosco ma non li uso","Si, raramente acquisto prodotti con etichetta ecologica","Non uso i sacchetti del supermercato, uso sacchetti personali (borse della spesa in tela o plastica dura riutilizzabile)","Riacquisto i prodotti","Riacquisto le casse di acqua","> 3 volte all'anno","2","A volte acquisto indumenti sostenibili","Non acquisto vestiti di seconda mano - vendo e/o riutilizzo indumenti vecchi o danneggiati","Non mi interessa l’acquisto di mobili ecologici o di seconda mano","4","08:00","Automobile (conducente)","Diesel","Euro 6 (immatricolata a partire dal 1° settembre 2015)","Più di 6 volte a settimana","5","2","Meno di 5 minuti","Più di 100 m²","Circa 25 m²","25%","Tra 51 e 100€","0€","0€","Automobile (passeggero);Bicicletta","Tra 1 e 3 km","3","Più di 100 m²","Circa 25 m²","Presenta un passaggio pedonale","Nessuna","Meno del 25%","Sistemi di Controllo Intelligenti dell'Energia","","Non possiedo nessun impianto","3 kWh","Ventilazione Naturale","Tra 2 e 25%","","","Non possiedo nessun impianto","Ventilazione Naturale;Luce solare naturale","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","In Progetto","In Progetto","1-25%","Nessun Interesse","In Progetto","In Progetto","1-50%","1-50%","76-100%","76-100%","76-100%","76-100%","1 - 4","1 - 2","3 eventi per anno",""
"2023/06/18 4:57:19 PM EEST","Sì","Tra 26 e 50 anni","Femminile","4","Non impiegato","Da 1 a 10 impiegati (micro impresa)","Sicilia","Messina","Sicilia","Messina","Nessuna invalidità","Casa","Tra 1 e 3","Da 1001 a 2000 €","Da 0 a 1000 €","4","2","Mi servo esclusivamente dei supermercati","No, non ne ero a conoscenza","No, non guardo le etichette","Non uso i sacchetti del supermercato, uso sacchetti personali (borse della spesa in tela o plastica dura riutilizzabile)","Riacquisto i prodotti","Riacquisto le casse di acqua","0","1","Acquisto vestiti senza curarmi dei cartellini","Non acquisto vestiti di seconda mano - vendo e/o riutilizzo indumenti vecchi o danneggiati","Sono interessato all’acquisto di mobili di seconda mano ma non sono a conoscenza di mercatini delle pulci nella mia zona ne di siti online","3","09:00","Automobile (conducente)","Benzina","Euro 4 (immatricolata a partire dal 1° gennaio 2006)","Tra 1 e 3 volte a settimana","5","1","Meno di 5 minuti","Tra 51 e 75 m²","Circa 25 m²","0%","Tra 51 e 100€","0€","0€","Nessuno","Meno di 1 km","5","Tra 51 e 75 m²","Circa 25 m²","Nessuna delle seguenti","Nessuna","Tra il 25 e il 50%","","","Non possiedo nessun impianto","3 kWh","Ventilazione Naturale;Luce solare naturale","Meno dell'1%","","","Non possiedo nessun impianto","Ventilazione Naturale;Luce solare naturale","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","No","No","No","No","No","No","No","No","0","0","Nessuna",""
"2023/06/18 4:59:45 PM EEST","Sì","Maggiore di 50 anni","Maschile","4","Lavoratore presso azienda pubblica","Da 51 a 250 impiegati (media impresa)","Sicilia","Messina","Sicilia","Messina","Nessuna invalidità","Casa","Tra 4 e 7","Da 2001 a 3000 €","Da 1001 a 2000 €","3","2","Vorrei servirmi dei mercatini biologici ma non sono presenti nella mia città","No, li conosco ma non li uso","Si, acquisto solo prodotti con etichetta ecologica","Uso i sacchetti del supermercato e li riutilizzo","Non mi occupo io di questo acquisto","Ricarico le bottiglie vuote di acqua ai distributori","1 volta all'anno","1","A volte acquisto indumenti sostenibili","Non acquisto vestiti di seconda mano - vendo e/o riutilizzo indumenti vecchi o danneggiati","Sono interessato all’acquisto di mobili di seconda mano ma non sono a conoscenza di mercatini delle pulci nella mia zona ne di siti online","4","07:30","Automobile (conducente)","Diesel","Euro 1 (immatricolata a partire dal 1° gennaio 1993)","Più di 6 volte a settimana","4","1","Tra 11 e 15 minuti","Più di 100 m²","Circa 25 m²","25%","Tra 31 e 50€","0€","0€","Nessuno","Tra 7 e 10 km","1","Più di 100 m²","Circa 25 m²","Nessuna delle seguenti","Nessuna","Minore dell'1%","","","Non possiedo nessun impianto","4.5 kWh","Ventilazione Naturale;Luce solare naturale","Tra 2 e 25%","Sistemi di Controllo Intelligenti dell'Energia;Sistemi di Controllo Intelligenti di Condizionamento dell'Aria","Solare","Meno del 25%","Luce solare naturale","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","Nessun Interesse","In Progetto","No","No","No","No","1-50%","1-50%","1-50%","1-50%","0","0","Nessuna",""
